,METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
216,6642,0,47,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
217,6642,0,62,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
218,6642,0,35,2,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
219,6641,0,27,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
220,6641,0,38,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
221,1521,0,47,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
222,1521,0,43,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
223,6641,0,21,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
224,6641,0,49,2,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
225,6641,0,50,2,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
226,6642,0,51,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
227,6642,0,51,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
228,3122,0,56,1,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
229,3122,0,56,1,5,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
230,6642,0,37,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
231,6642,0,61,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
232,6642,0,57,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
233,1521,37119,63,1,5,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
234,6642,0,44,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
235,6642,0,47,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
236,6642,0,36,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
237,6642,0,36,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
238,1521,0,61,2,5,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
239,1521,0,57,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
240,1521,37119,55,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
241,1521,37159,54,2,5,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
242,3121,37067,69,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
243,6641,0,51,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
244,1521,37179,62,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
245,1521,37179,63,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
246,6641,0,39,1,5,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
247,6642,0,57,1,5,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
248,6642,0,57,1,5,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
249,6642,0,44,1,5,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
250,3122,0,53,2,5,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
251,6641,0,61,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
252,6641,0,58,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
253,6642,0,53,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
254,6642,0,58,2,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
255,2560,0,51,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
256,1521,0,19,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
257,6642,0,50,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
258,6642,0,52,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
259,9999,0,50,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
260,6642,0,39,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
261,1521,0,27,1,5,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
262,1521,0,26,1,5,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
263,1521,0,49,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
264,1521,0,45,2,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
265,1521,0,22,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
266,6642,0,54,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
267,6642,0,47,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
268,6642,0,19,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
269,1521,0,37,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
270,1521,0,43,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
271,1521,37119,27,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
272,1521,37119,27,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
273,1521,0,57,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
274,1521,0,59,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
275,6641,0,50,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
276,6641,0,52,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
277,6641,0,18,2,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
278,1521,37119,43,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
279,9999,0,51,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
280,9999,0,52,2,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
281,9999,0,22,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
282,1521,0,50,2,5,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
283,3121,37057,41,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
284,6642,0,55,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
285,6642,0,61,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
286,6642,0,35,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
287,6642,0,30,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
288,1521,37119,26,1,5,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
289,1521,37119,46,1,5,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
290,1521,37119,53,1,5,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
291,1521,37119,22,1,5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
292,1521,37119,39,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
293,1521,0,33,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
294,1521,0,36,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
295,1521,0,66,2,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
296,1521,0,62,2,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
297,1521,0,54,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
298,6642,0,40,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
299,6642,0,28,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
300,3122,0,26,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
301,3121,37067,27,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
302,3121,37067,32,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
303,3121,37067,52,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
304,6641,0,37,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
