METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
1521,0,57,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
1521,37119,55,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
1521,37159,54,2,5,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
3121,37067,69,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
6641,0,51,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1521,37179,62,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37179,63,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
6641,0,39,1,5,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
6642,0,57,1,5,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
6642,0,57,1,5,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
6642,0,44,1,5,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
3122,0,53,2,5,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
6641,0,61,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
6641,0,58,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
6642,0,53,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,58,2,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
2560,0,51,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,0,19,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
6642,0,50,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
6642,0,52,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
9999,0,50,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
6642,0,39,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1521,0,27,1,5,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
1521,0,26,1,5,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1521,0,49,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
1521,0,45,2,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1521,0,22,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
6642,0,54,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
